DISTRITO,CÓDIGO,NOMBRE,EDUCACIÓN,DEPENDENCIA,RESOLUCIÓN,FECHA DE RESOLUCIÓN,ZONA,DIRECCIÓN,ESTADO,https://sigee.sie.gob.bo/#
COCHABAMBA 2,80980685,21 DE SEPTIEMBRE II,Regular,Fiscal,R.A. 4878/2023,22/11/2023,SUD CANTON ITOCTA,ZONA SUD VILLA 21 DE SEPTIEMBRE,Abierta,.
COCHABAMBA 2,80980505,NUEVA ESPERANZA,Regular,Fiscal,3077/2006,23/11/2006,SUD CANTON ITOCTA,ZONA SUD VILLA ISRAEL,Abierta,.
COCHABAMBA 2,80980182,LUIS ESPINAL,Regular,Fiscal,R.A. 2172/2009,28/9/2009,SUD CERRO VERDE,RAZA DE BRONCE Y LOS ANDES S/N ENTRE MOLINOS Y LLAWAR MALLKU,Abierta,.
COCHABAMBA 2,80980183,ISMAEL MONTES,Regular,Fiscal,R.A. 0247/2018,25/1/2018,SUD CERRO VERDE,RAZA DE BRONCE Y LOS ANDES S/N ENTRE MOLINOS Y LLAWAR MALLKU,Abierta,.
COCHABAMBA 2,80980319,MAN CESPED,Alternativa y Especial,Fiscal,R.M. 0764/2019,10/7/2019,SUD CERRO VERDE,RAZA DE BRONCE Y LOS ANDES S/N ENTRE MOLINOS Y LLAWAR MALLKU,Abierta,.
COCHABAMBA 2,80980687,LA FRONTERA,Regular,Fiscal,R.A. 5012/2023,6/12/2023,"SUD DE COCHABAMBA, DISTRITO N° 9, COMUNA ITOCTA.","PARADA FINAL DE TRUFI 135, AL LÍMITE CON MUNICIPIO SANTIVÁÑEZ.",Abierta,.
COCHABAMBA 2,80980654,MARISCAL ANTONIO JOSE DE SUCRE-RIO SECO,Regular,Fiscal,R.A. 3219/2021,13/12/2021,SUD DISTRITO N° 9-SUB DISTRITO N° 35,SUD DISTRITO N° 9-SUB DISTRITO N° 35 OTB. RIO SECO,Abierta,.
COCHABAMBA 2,80980520,SAN VICENTE DE PAUL,Regular,Fiscal,R.A. 2323/2023,30/6/2023,SUD ESTE,AV. PETROLERA KM. 10 MINEROS SAN JUAN,Abierta,.
COCHABAMBA 2,80980674,NUEVO HORIZONTE,Regular,Fiscal,R.A. 5022/2022,7/9/2022,SUD ESTE,AV. PETROLERA KM. 10 MINEROS SAN JUAN,Abierta,.
COCHABAMBA 1,80980277,LOURDES,Regular,Fiscal,R.A. 1239/2009,25/6/2009,SUD ESTE,FRANCISCO SUAREZ ENTRE CESAR ACHABAL Y AV. CIRCUNVALACION BEIGIN,Abierta,.
COCHABAMBA 1,80980273,DANIEL SANCHEZ BUSTAMANTE,Regular,Fiscal,R.A. 1240/2009,25/6/2009,SUD ESTE,SUCRE ESQUINA LANZA,Abierta,.
COCHABAMBA 1,80980161,SANTA TERESITA SOS,Regular,Convenio,.,1/1/1900,SUD ESTE,CALAMA Nro 0857 16 DE JULIO Y OQUENDO,Cerrada,.
COCHABAMBA 1,80980280,SUCRE,Regular,Fiscal,4080/2000,4/9/2000,SUD ESTE,SUCRE ESQUINA LANZA,Abierta,.
COCHABAMBA 1,80980479,14 DE SEPTIEMBRE,Regular,Fiscal,767/2006,13/4/2006,SUD ESTE,FRANCISCO SUAREZ ENTRE CESAR ACHABAL Y AV. CIRCUNVALACION BEIGIN,Abierta,.
COCHABAMBA 1,80980282,TEODOMIRO BELTRAN,Regular,Fiscal,R.A. 6047/2024,19/12/2024,SUD ESTE,SUCRE ESQUINA LANZA,Abierta,.
COCHABAMBA 2,80980117,VIKINGA BOLIVIANA,Regular,Fiscal,R.A. 1681/2013,8/7/2013,SUD ESTE - CERRO VERDE,CALLE LLAWAR MALLKU,Abierta,.
